Date,Open,High,Low,Close,Volume
12-Aug-11,6550,6600,6400,6500,43704500
11-Aug-11,6500,6600,6400,6450,51580000
10-Aug-11,6600,6650,6500,6550,76364000
9-Aug-11,6050,6650,6000,6300,100097500
8-Aug-11,6550,6550,6250,6500,110820000
5-Aug-11,6600,6800,6550,6650,89253500
4-Aug-11,7100,7150,6950,7100,35003000
3-Aug-11,7150,7200,7050,7200,29073000
2-Aug-11,7150,7250,7050,7250,30684500
1-Aug-11,6950,7200,6950,7200,56001000
29-Jul-11,6850,6950,6750,6900,39800000
28-Jul-11,6850,6850,6700,6800,35729500
27-Jul-11,6650,6950,6650,6900,69315500
26-Jul-11,6550,6750,6550,6650,42169500
25-Jul-11,6600,6650,6500,6600,27516000
22-Jul-11,6700,6700,6500,6650,51311500
21-Jul-11,6650,6750,6550,6650,31829000
20-Jul-11,6700,6750,6600,6650,16587500
19-Jul-11,6600,6650,6600,6650,23698000
18-Jul-11,6750,6750,6600,6700,21012500
15-Jul-11,6700,6900,6700,6750,42946500
14-Jul-11,6750,6750,6650,6750,14497000
13-Jul-11,6750,6800,6650,6750,8768000
12-Jul-11,6750,6800,6650,6750,22956000
11-Jul-11,6800,6850,6700,6850,15109500
8-Jul-11,6700,6850,6650,6800,28555500
7-Jul-11,6650,6750,6600,6650,23601500
6-Jul-11,6650,6650,6500,6600,25038500
5-Jul-11,6900,6950,6650,6700,21511500
4-Jul-11,6800,6900,6700,6900,46443500
1-Jul-11,6600,6750,6550,6700,72011500
30-Jun-11,6500,6550,6450,6500,40579000
28-Jun-11,6450,6450,6350,6400,22243500
27-Jun-11,6400,6450,6350,6400,14844000
24-Jun-11,6350,6500,6350,6450,23044000
23-Jun-11,6350,6400,6300,6350,26424000
22-Jun-11,6400,6450,6350,6350,23915500
21-Jun-11,6300,6400,6250,6350,23785000
20-Jun-11,6250,6300,6200,6250,16074500
17-Jun-11,6250,6250,6100,6200,23527500
16-Jun-11,6350,6350,6150,6150,30749500
15-Jun-11,6350,6400,6300,6400,29535500
14-Jun-11,6250,6350,6200,6300,26391000
13-Jun-11,6300,6300,6150,6250,18393500
10-Jun-11,6350,6400,6300,6300,13050000
9-Jun-11,6350,6400,6300,6300,17537500
8-Jun-11,6350,6450,6300,6400,23248000
7-Jun-11,6300,6450,6300,6400,19060500
6-Jun-11,6400,6500,6300,6350,17348500
3-Jun-11,6300,6500,6250,6500,41209000
1-Jun-11,6400,6500,6250,6250,35225000
31-May-11,6450,6500,6300,6350,36828500
30-May-11,6250,6400,6200,6400,33449000
27-May-11,6250,6300,6200,6250,28353500
26-May-11,6250,6300,6200,6250,24259500
25-May-11,6150,6200,6100,6150,38811000
24-May-11,6200,6300,6150,6200,35290000
23-May-11,6450,6450,6150,6250,56736500
20-May-11,6500,6550,6450,6550,20083500
19-May-11,6450,6550,6450,6550,72151000
18-May-11,6200,6400,6200,6350,56303500
16-May-11,6150,6250,6050,6150,25431500
13-May-11,6200,6300,6150,6250,28494500
12-May-11,6250,6300,6100,6200,34106000
11-May-11,6200,6300,6150,6300,32133500
10-May-11,6000,6150,6000,6150,31196000
9-May-11,6200,6200,6000,6100,58407000
6-May-11,6250,6300,6100,6200,60210000
5-May-11,6350,6350,6250,6300,20212000
4-May-11,6400,6450,6300,6400,33693000
3-May-11,6500,6500,6350,6450,17444000
2-May-11,6500,6600,6500,6550,35900000
29-Apr-11,6550,6600,6300,6450,37485500
28-Apr-11,6600,6600,6450,6550,23535000
27-Apr-11,6450,6600,6450,6550,25930500
26-Apr-11,6450,6500,6350,6450,19810000
25-Apr-11,6500,6550,6400,6500,15415500
21-Apr-11,6650,6650,6350,6500,49309500
20-Apr-11,6300,6600,6300,6600,65162500
19-Apr-11,6150,6250,6100,6250,33942000
18-Apr-11,6200,6250,6150,6250,23551500
15-Apr-11,6100,6200,6100,6150,15161500
14-Apr-11,6200,6300,6050,6100,29004000
13-Apr-11,6100,6250,6050,6200,31508500
12-Apr-11,6100,6150,6050,6150,24771000
11-Apr-11,6300,6500,6100,6150,30051000
8-Apr-11,6250,6400,6200,6300,45320000
7-Apr-11,6000,6200,6000,6200,59223500
6-Apr-11,5700,6000,5650,5950,57963000
5-Apr-11,5800,5800,5650,5750,24677000
4-Apr-11,5900,5950,5750,5800,40822500
1-Apr-11,5800,5950,5800,5850,43249000
