Date,Open,High,Low,Close,Volume
3-Nov-14,10400.00,10425.00,10250.00,10375.00,11119900
31-Oct-14,10225.00,10350.00,10200.00,10350.00,17810700
30-Oct-14,10200.00,10200.00,10075.00,10200.00,13587300
29-Oct-14,10050.00,10175.00,10025.00,10175.00,21899400
28-Oct-14,9950.00,10050.00,9925.00,10000.00,11593100
27-Oct-14,10150.00,10175.00,9950.00,9975.00,16998500
24-Oct-14,10200.00,10225.00,10025.00,10100.00,20335600
23-Oct-14,10050.00,10200.00,10050.00,10175.00,18110600
22-Oct-14,10100.00,10125.00,10000.00,10100.00,16748700
21-Oct-14,10125.00,10150.00,9950.00,10025.00,16662800
20-Oct-14,10075.00,10200.00,9975.00,10125.00,38064100
17-Oct-14,9650.00,10100.00,9650.00,9925.00,49310100
16-Oct-14,9500.00,9700.00,9500.00,9650.00,19669400
15-Oct-14,9625.00,9700.00,9500.00,9650.00,22380900
14-Oct-14,9325.00,9525.00,9300.00,9450.00,24015400
13-Oct-14,9375.00,9475.00,9325.00,9400.00,31840100
10-Oct-14,9375.00,9550.00,9350.00,9550.00,25354400
9-Oct-14,9575.00,9675.00,9550.00,9550.00,18828100
8-Oct-14,9650.00,9700.00,9450.00,9500.00,62011300
7-Oct-14,9825.00,9900.00,9725.00,9750.00,27041500
6-Oct-14,9700.00,9850.00,9650.00,9825.00,24311200
3-Oct-14,9900.00,9975.00,9550.00,9650.00,41359200
2-Oct-14,10100.00,10175.00,9900.00,9900.00,35921600
1-Oct-14,10075.00,10375.00,10075.00,10100.00,22352800
30-Sep-14,10000.00,10175.00,10000.00,10075.00,30699600
29-Sep-14,10025.00,10100.00,9825.00,10075.00,38824200
26-Sep-14,10200.00,10200.00,10025.00,10050.00,62694700
25-Sep-14,10625.00,10650.00,10325.00,10525.00,39560800
24-Sep-14,10600.00,10650.00,10550.00,10550.00,11026300
23-Sep-14,10625.00,10700.00,10575.00,10700.00,23769100
22-Sep-14,10575.00,10650.00,10475.00,10650.00,26885800
